1;18;opfr
1;14;opfrLabel
1;17;upfr
1;15;upfrLabel
1;3;surname
1;9;surnameLabel
1;2;firstName
1;12;firstNameLabel
1;4;fathersName
1;13;fathersNameLabel
2;18;opfr
2;14;opfrLabel
2;17;upfr
2;15;upfrLabel
2;8;subRequest
2;10;labelSubRequest
2;3;surname
2;9;surnameLabel
2;2;firstName
2;12;firstNameLabel
2;4;fathersName
2;13;fathersNameLabel
3;18;opfr
3;14;opfrLabel
3;6;dateSending
3;19;dateSendingLabel
3;1;ordinalNumber
3;21;labelOrdinalNumber
4;18;opfr
4;14;opfrLabel
4;17;upfr
4;15;upfrLabel
4;3;surname
4;9;surnameLabel
4;2;firstName
4;12;firstNameLabel
4;4;fathersName
4;13;fathersNameLabel
5;5;snils
5;22;snilsLabel
5;8;subRequest
5;10;labelSubRequest
6;5;snils
6;22;snilsLabel
7;3;surname
7;9;surnameLabel
7;2;firstName
7;12;firstNameLabel
7;4;fathersName
7;13;fathersNameLabel
8;18;opfr
8;14;opfrLabel
8;17;upfr
8;15;upfrLabel
8;3;surname
8;9;surnameLabel
8;2;firstName
8;12;firstNameLabel
8;4;fathersName
8;13;fathersNameLabel
8;11;departmentNumberLabel
8;23;departmentNumber
9;3;surname
9;9;surnameLabel
9;2;firstName
9;12;firstNameLabel
9;4;fathersName
9;13;fathersNameLabel
9;11;departmentNumberLabel
9;23;departmentNumber
10;18;opfr
10;14;opfrLabel
10;3;surname
10;9;surnameLabel
10;2;firstName
10;12;firstNameLabel
10;4;fathersName
10;13;fathersNameLabel
11;3;surname
11;9;surnameLabel
11;2;firstName
11;12;firstNameLabel
11;4;fathersName
11;13;fathersNameLabel
